t_s,i_A,omega_rad_s,Vdc_V,Wsource_J,Wline_J,Wload_J,Wchopper_J,Wconverter_J,Wcopper_J,Wviscous_J,Wcoulomb_J,Wfess_J,Wcharge_J,Wreturn_J,Wtraction_J,Wregen_J,Qcurrent_As,Wchannel_J,Wdiode_J,Wtransition_J,Woss_J,Wgate_J,Wterminal_J,Wem_J,Pload_W,iref_A,Preq_W,Ptarget_W,high_block,low_block,gate_blocked,duty,integrator_V,cycle_mean_i_A,rpm,Erot_J,Emag_J,Ecap_J,residual_J,restore_active,connected,speed_integrator_A,recovery_credit_J,credited_J,spent_J,leaked_J,initial_bus_V
79.599999999999994,10.9266918006828,314.15926561509502,54.560959950411501,31048.4098211739,2503.40209989193,1372.9026812515101,0,489.61866336578998,13367.1866048093,11474.863177466699,1850.4848682131001,27182.989105993402,27260.579409461101,77.590303467608607,1920.9018590757,547.99917782484101,859.59395008115098,368.937444403173,71.943324046836494,46.603851809006301,1.1791029066369301,0.95494020001860602,26693.370442631898,13325.3480896651,0,10.9247771146019,269.47361686965502,269.47361686965502,0,0,0,0.53506779239328195,3.4126825688806499,10.924777113814301,3000.0000024457299,32076.214355840199,0.83574815594975405,119.075934028416,8.3086160884704407e-06,1,1,3.64159440302975,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.700000000000003,10.926691803033201,314.15926560850102,54.560959949896798,31079.304328472401,2504.72408130648,1372.9026812515101,0,490.09549418269199,13379.1217000991,11489.667584093,1852.8410627053199,27212.561631879398,27290.151935347101,77.590303467608607,1920.9018590757,547.99917782484101,860.68642779270704,369.26685296786599,72.027564757220006,46.663983571039701,1.1809526864054001,0.95614020001863997,26722.466137700201,13342.508689443701,0,10.9247771170424,269.47361694811298,269.47361694811298,0,0,0,0.53506779146402805,3.4126825690916598,10.924777118361799,3000.0000023827602,32076.214354493699,0.83574815630931099,119.07593402617,8.3015293057542294e-06,1,1,3.6415943386449601,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.799999999999997,10.9266918074551,314.15926560196698,54.560959948870298,31110.198835780899,2506.0460627216398,1372.9026812515101,0,490.57232499982803,13391.0567953967,11504.471990719399,1855.19725719755,27242.134157776702,27319.724461244401,77.590303467608607,1920.9018590757,547.99917782484101,861.77890550456902,369.59626153275599,72.111805467629495,46.724115333091603,1.1828024661738701,0.95734020001867504,26751.561832780499,13359.669289226,0,10.924777120552699,269.47361706257902,269.47361706257902,0,0,0,0.53506779311063801,3.41268256780713,10.924777118361799,3000.0000023203702,32076.214353159401,0.835748156985752,119.07593402168899,8.3033919509034604e-06,1,1,3.6415942759361402,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.900000000000006,10.926691810885901,314.159265595482,54.560959947606499,31141.093343104101,2507.3680441382098,1372.9026812515101,0,491.04915581724998,13402.9918907025,11519.276397345,1857.5534516897701,27271.706683688899,27349.296987156598,77.590303467608607,1920.9018590757,547.99917782484101,862.87138321682096,369.92567009790503,72.196046178077907,46.784247095166997,1.1846522459423401,0.95854020001870899,26780.657527875101,13376.829889013699,0,10.9247771252298,269.47361721629801,269.47361721629801,0,0,0,0.53506779222849898,3.4126825692967699,10.924777125183001,3000.00000225843,32076.214351834999,0.83574815751056097,119.07593401617299,8.3084196376148594e-06,1,1,3.64159421488419,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.969999999999999,10.926691814723,314.15926559094601,54.560959946415103,31162.7194982414,2508.2934311306599,1372.9026812515101,0,491.38293738967297,13411.3464574229,11529.639481980899,1859.2027878343199,27292.407451838699,27369.9977553065,77.590303467608607,1920.9018590757,547.99917782484101,863.63611761570905,370.15625609367402,72.255014675414301,46.826339328632201,1.1859470917802699,0.95938020001873403,26801.0245144527,13388.8423088699,0,10.9247771294479,269.47361735565403,269.47361735565403,0,0,0,0.53506779216050004,3.41268257000266,10.924777129730501,3000.0000022151198,32076.214350908798,0.83574815809754099,119.07593401097201,8.3060913311783207e-06,1,1,3.6415941731311898,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.980000000000004,10.926691815420201,314.15926559029799,54.560959946241503,31165.808948976199,2508.4256292724999,1372.9026812515101,0,491.430620471461,13412.539966955001,11531.1199226432,1859.4384072835401,27295.364704432501,27372.9550079002,77.590303467608607,1920.9018590757,547.99917782484101,863.74536538700102,370.18919695022799,72.263438746463606,46.832352504843101,1.1861320697570901,0.95950020001873704,26803.934083964599,13390.558368849701,0,10.924777130116601,269.47361737778499,269.47361737778499,0,0,0,0.53506779251857295,3.41268257216249,10.924777129730501,3000.0000022089298,32076.214350776401,0.83574815820419102,119.07593401021499,8.3054073911625892e-06,1,1,3.64159416723257,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
79.989999999999995,10.926691816742499,314.15926558964998,54.560959945980301,31168.898399711001,2508.55782741441,1372.9026812515101,0,491.47830355325902,13413.733476487399,11532.600363305501,1859.67402673277,27298.321957026801,27375.912260494501,77.590303467608607,1920.9018590757,547.99917782484101,863.85461315830401,370.22213780679101,72.271862817515697,46.838365681054299,1.1863170477339,0.95962020001874004,26806.843653477099,13392.2744288297,0,10.9247771308018,269.47361740047103,269.47361740047103,0,0,0,0.53506779176670605,3.4126825703189199,10.9247771320042,3000.0000022027398,32076.214350644099,0.83574815840646999,119.075934009075,8.3048944361507893e-06,1,1,3.6415941613504801,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
80,10.9266918171278,314.15926558900202,54.560959945795702,31171.9878504466,2508.6900255563201,1372.9026812515101,0,491.52598663505802,13414.9269860198,11534.080803967699,1859.90964618199,27301.279209620901,27378.869513088601,77.590303467608607,1920.9018590757,547.99917782484101,863.96386092960995,370.25507866335499,72.280286888567801,46.844378857265497,1.1865020257107,0.95974020001874405,26809.753222989599,13393.990488809701,0,10.9247771315036,269.47361742371299,269.47361742371299,0,0,0,0.53506779213650202,3.4126825722567702,10.9247771320042,3000.0000021965502,32076.2143505118,0.83574815846541695,119.075934008269,8.3039121818728694e-06,1,1,3.6415941554849098,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
80.010000000000005,10.9266918170064,314.159265588354,54.560959945653202,31175.0773011821,2508.8222236982201,1372.9026812515101,0,491.57366971685701,13416.120495552201,11535.56124463,1860.1452656311801,27304.2364622151,27381.826765682799,77.590303467608607,1920.9018590757,547.99917782484101,864.07310870092499,370.28801951992102,72.288710959619905,46.850392033476602,1.1866870036874999,0.95986020001874695,26812.662792502098,13395.7065487897,0,10.9247771322218,269.47361744750998,269.47361744750998,0,0,0,0.53506779248311198,3.4126825725232401,10.9247771320042,3000.0000021903602,32076.214350379501,0.83574815844683503,119.07593400764701,8.3029590314254199e-06,1,1,3.6415941496358601,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
80.019999999999996,10.9266918188868,314.15926558770599,54.560959945346497,31178.166751917899,2508.9544218401702,1372.9026812515101,0,491.62135279867698,13417.314005085,11537.041685292301,1860.38088508035,27307.193714810201,27384.7840182779,77.590303467608607,1920.9018590757,547.99917782484101,864.18235647224901,370.32096037649802,72.297135030674596,46.8564052096892,1.1868719816643001,0.95998020001875095,26815.5723620157,13397.422608770001,0,10.924777132956599,269.47361747186301,269.47361747186301,0,0,0,0.53506779279872296,3.4126825705857899,10.9247771320042,3000.0000021841802,32076.214350247101,0.83574815873450203,119.075934006308,8.3018130681011792e-06,1,1,3.6415941438033399,104.839935807651,219.10252376265399,105.144860554736,9.1177274002547097,57
