SceneID,MassFactorA,MassFactorB,ActualOffset_s,PrimaryFineMeanSOCSaving_kWh,PrimaryCoarseMeanSOCSaving_kWh,PrimarySceneMeanStepChange_kWh,MaxPrimarySOCStepChange_kWh,SecondaryFineMeanSOCSaving_kWh,SecondaryCoarseMeanSOCSaving_kWh,Complete
38,0.979754396907769,1.00183997143069,35.9797701198804,0.095409654615068,0.0954101370390603,-4.82423992309577e-07,4.83456474853483e-07,0.0879849208028247,0.0879856810843265,1
39,0.96575845483646,0.990927135404611,37.179571087179,0.0874201908929422,0.087421285333086,-1.09444014384508e-06,1.10565785860217e-06,0.0734345677081265,0.0734345784694597,1
40,0.994370690101357,0.976262909039788,37.361509859822,0.129745869192043,0.129745986169439,-1.16977396658058e-07,1.23169286325719e-07,0.108216879570371,0.108216965158874,1
41,1.04254975572103,0.966540410575809,36.6973518460654,0.162233252105167,0.162234218641039,-9.66535871782526e-07,9.67078889857476e-07,0.161204330741796,0.161204422560154,1
42,1.03085917468165,1.00961881311549,36.2633871137033,0.115200075198054,0.115196465737952,3.60946010147245e-06,3.60985853831153e-06,0.109226369314086,0.109225529189644,1
43,1.0406801995293,1.02912237575073,36.8643316467011,0.109928210975745,0.109928195271848,1.57038968495726e-08,1.57820778667883e-08,0.0955968660032909,0.0955967860524112,1
44,1.0385375835229,1.03961115969783,35.2292913832745,0.0653815708051226,0.0653811075561563,4.63248966298124e-07,4.63273991613278e-07,0.0687704034653578,0.0687697156628886,1
45,1.00270693895305,1.00523168092468,33.247521012848,0.0431615258513389,0.0431647688587162,-3.24300737730709e-06,3.24301684884176e-06,0.0501073899629034,0.0501080390589266,1
46,0.987699146080905,1.00982725204667,35.8680040701499,0.0907783312923769,0.0907793479659631,-1.01667358620716e-06,1.017904637024e-06,0.0837598296665192,0.0837601416236566,1
47,0.956576129293342,1.0210067435228,33.8634903986197,0.0315548767579585,0.031555625369954,-7.48611995504689e-07,7.48760825786121e-07,0.0375063593287948,0.037506161811784,1
48,0.960228912860377,0.987390476857616,37.1210962033235,0.0841035226549636,0.0841028984533523,6.24201611287845e-07,6.24549642225247e-07,0.0736150582983868,0.0736150367497359,1
49,0.979006364514585,1.02819709133565,34.8149026378358,0.0466759276485433,0.0466787785480278,-2.85089948448558e-06,2.85092005469778e-06,0.0512220322978507,0.0512223496784969,1
50,0.999001766920373,0.955438553393609,32.8678350930849,0.0636691081669127,0.0636691715738493,-6.34069365901269e-08,6.34157260037682e-08,0.0689688380618421,0.0689688876357408,1
51,0.971795168459991,0.971265843162391,34.3406622445667,0.0753900572910737,0.0753904517967356,-3.945056619159e-07,3.94526679770024e-07,0.0793488666480613,0.0793491475155292,1
52,0.98551319176848,1.01742583525417,32.7148968182621,0.0254403508684646,0.0254395522721182,7.98596346385239e-07,7.98612333596793e-07,0.0328798012909672,0.032880144754813,1
53,1.04736818264217,1.00749886754632,36.1993034789814,0.113233620961473,0.11323000762669,3.61333478338111e-06,3.61343425936411e-06,0.115617119172491,0.11561431277773,1
54,1.02746931464989,1.02268364929517,35.5824414821916,0.0792956700091807,0.0792976732549562,-2.00324577548372e-06,2.00343478695686e-06,0.0843599118026788,0.08435968515154,1
55,0.95451369026592,0.994720399940823,33.7775728515946,0.0425877010688609,0.0425841355137919,3.56555506897394e-06,3.56559731073958e-06,0.0492465531681816,0.0492426598255307,1
56,1.04564479791357,0.97779991817743,36.9327323941619,0.164644526887187,0.164642174737267,2.35214992017063e-06,2.35236799994709e-06,0.152129257000922,0.152129454248353,1
57,0.972864685051326,0.956583894463711,35.4491215285724,0.108218194470922,0.108213668839625,4.52563129726968e-06,4.52597326727755e-06,0.112356520358794,0.112353602619343,1
58,0.994406604779161,0.952637218207935,34.4243064792258,0.101512038462268,0.101512634992957,-5.96530689733754e-07,5.96695969079519e-07,0.105606321166718,0.105606467098049,1
59,0.985093794836315,1.0250247149929,36.6194230694767,0.0776488070379884,0.0776485604433574,2.46594630937125e-07,2.48033657612723e-07,0.0674927040096875,0.0674925608764028,1
